text	kana	fed_text	sources
万が一に備えて保険に入った。	マ'ンガイチニ/ソナエ'テ/ホケンニ'/ハ'イッタ	万が一に備えて保険に入った。	confusables-eg
明日の会議の資料を準備しておいた。	ア_シタ'ノ/カ'イギノ/シ'リョオオ/ジュ'ンビ/_シテ'/オ'イタ	明日の会議の資料を準備しておいた。	confusables-eg
明日は雨らしい。	ア_シタ'ワ/ア'メラシイ	明日は雨らしい。	confusables-eg
明日は必ず出席すること。	ア_シタ'ワ/カナラズ'/シュッセ_キ'/スル'/コト'	明日は必ず出席すること。	confusables-eg
面接を受けた。	メンセツオ'/ウケ'タ	面接を受けた。	confusables-eg
野菜を食べるようにしている。	ヤサイオ'/タベ'ル/ヨ'オニ/_シテ'/イル'	野菜を食べるようにしている。	confusables-eg
野良猫が馴れてきた。	ノラネコガ'/ナレ'テ/キ'タ	野良猫が馴れてきた。	confusables-eg
厄介な患者が来た。	ヤ'ッカイナ/カンジャガ'/キ'タ	厄介な患者が来た。	confusables-eg
約束した以上、守らなければならない。	ヤ_クソク'/_シタ'/イ'ジョオ、マモラ'ナケレバ/ナラ'ナイ	約束した以上、守らなければならない。	confusables-eg
薬で風邪を治した。	_クスリデ'/カゼオ'/ナオ'_シタ	薬で風邪を治した。	confusables-eg
友達がいなくて寂しい。	トモダチガ'/イナ_クテ'/サビシ'イ	友達がいなくて寂しい。	confusables-eg
友達にプレゼントをあげた。	トモダチニ'/プレ'ゼントオ/アゲ'タ	友達にプレゼントをあげた。	confusables-eg
要するに、お金が足りないんでしょう？	ヨオス'ルニ、オカネガ'/タリナイ'/ン'デショオ？	要するに、お金が足りないんでしょう？	confusables-eg
来月から大阪に転勤することになった。	ラ'イゲ_ツカラ/オオサカニ'/テンキン'/スル'/コト'ニ/ナ'ッタ	来月から大阪に転勤することになった。	confusables-eg
来月会社を辞めるつもりだ。	ラ'イゲ_ツ/カイシャオ'/ヤメル'/ツモリダ'	来月会社を辞めるつもりだ。	confusables-eg
来週の予定を確認する。	ライシュウノ'/ヨテエオ'/カクニン'/スル'	来週の予定を確認する。	confusables-eg
来年留学することにした。	ライネン'/リュウガ_ク'/スル'/コト'ニ/_シタ'	来年留学することにした。	confusables-eg
留学するからには、しっかり勉強したい。	リュウガ_ク'/スル'カラニワ、シッカ'リ/ベンキョオ'/_シタ'イ	留学するからには、しっかり勉強したい。	confusables-eg
旅行に行くなら、沖縄がおすすめ。	リョコオニ'/イクナラ'、オキナワガ'/オススメ'	旅行に行くなら、沖縄がおすすめ。	confusables-eg
隣の部屋がうるさい。	トナリノ'/ヘヤ'ガ/ウルサ'イ	隣の部屋がうるさい。	confusables-eg
隣の部屋から声が聞こえた。	トナリノ'/ヘヤ'カラ/コ'エガ/_キコエタ'	隣の部屋から声が聞こえた。	confusables-eg
